CourseName,Credit,Class,CourseID
超导技术应用,1.0,自然与工程类,20152017090
计算思维导论,1.0,数学与推理类,20152021151
西方近现代兵法,1.0,中国与全球类,20152041070
体育旅游,2.0,人文与社会类,20152040701
电工初级技能训练,2.0,自然与工程类，陈晓红合上 第7周开始,20152017091
计算机信息检索与利用(工)2,2.0,自然与工程类，上课地点：图书馆总馆D,20152053006
Flash CS4动画设计与制作,2.0,数学与推理类,20152047091
SAS（统计分析系统）,2.0,数学与推理类,20152047076
SPSS统计分析,2.0,数学与推理类,20152047078
逻辑学导论,2.0,数学与推理类,20152033057
多媒体技术与虚拟现实,2.0,数学与推理类,20152047097
长江治水,2.0,自然与工程类,20152016187
中国水利文化,2.0,人文与社会类,20152016185
Visual Basic程序设计,2.0,数学与推理类,20152047090
核能及其应用,2.0,自然与工程类,20152018011
创业管理,2.0,人文与社会类,20152005458
Web信息系统设计基础,2.0,数学与推理类,20152047103
光纤通信基础,2.0,自然与工程类，何对燕,20152022157
二外法语,3.0,交流与写作类,20152002164
二外德语（下）,3.0,交流与写作类,20152002162
二外俄语,3.0,交流与写作类,20152002163
新能源系统综合实验,1.0,自然与工程类，5-10周在2区九教仿,20152018015
管理沟通,1.0,交流与写作类,20152005444
手机应用分析和创意,1.0,自然与工程类,20152047105
当代世界经济与政治,1.0,中国与全球类,20152042021
航空航天技术概论,1.0,自然与工程类,20152022001
中国陶瓷艺术,1.0,"中国与全球类，耗材50元陶艺室,",20152019278
中国陶瓷艺术,1.0,"中国与全球类，耗材50元陶艺室,12",20152019275
战争史,1.0,人文与社会类,20152041010
中国昆曲经典赏析,1.0,"艺术与欣赏类，课程组,万林博物馆古琴",20152032082
急救医学,1.0,自然与工程类,20152038010
中国昆曲经典赏析,1.0,"艺术与欣赏类，课程组,万林博物馆古琴",20152032083
羽毛球,2.0,人文与社会类，医学部体育馆,20152040697
舞龙,2.0,文理学部桂园操场,20152040702
大众足球,2.0,人文与社会类，文理学部桂园操场,20152040695
网球,2.0,人文与社会类，工学部网球场,20152040690
芭拉芭舞与健美操(一),2.0,人文与社会类，文理学部风雨馆,20152040692
舞龙,2.0,文理学部桂园操场,20152040703
平面图像处理,2.0,数学与推理类,20152047093
Excel VBA程序设计,2.0,数学与推理类,20152047088
建筑文化与歌剧艺术,2.0,艺术与欣赏类,20152019269
计算机基础与应用,2.0,数学与推理类,20152047069
Access数据库程序设计,2.0,数学与推理类,20152047080
C语言程序设计,2.0,数学与推理类,20152047070
C语言程序设计,2.0,数学与推理类,20152047072
平面图像处理,2.0,数学与推理类,20152047095
Flash CS4动画设计与制作,2.0,数学与推理类,20152047092
SPSS统计分析,2.0,数学与推理类,20152047079
计算机信息检索与利用(理)1,2.0,数学与推理类，上课地点：图书馆总馆D,20152053004
Access数据库程序设计,2.0,数学与推理类,20152047081
Excel VBA程序设计,2.0,数学与推理类,20152047087
地球科学概论,2.0,自然与工程类，测绘学院测绘类、测绘工,20152024006
博弈论,2.0,研究与领导类,20152005450
平面图像处理,2.0,数学与推理类,20152047094
建筑文化与歌剧艺术,2.0,艺术与欣赏类,20152019199
计算机基础与应用,2.0,数学与推理类,20152047068
平面图像处理,2.0,数学与推理类,20152047096
手机编程与手机游戏设计,2.0,数学与推理类,20152047107
二外日语（下）,3.0,交流与写作类,20152002165
大学语文,2.0,人文与社会类，教室在一校区,20152049009
领导心理学,1.0,研究与领导类,20152042018
科学研究中的伦理与道德,1.0,研究与领导类,20152025100
水安全与水管理,1.0,自然与工程类,20152016188
大学生的科研素养和科研方法,1.0,研究与领导类,20152017095
走进测绘殿堂,1.0,自然与工程类，已修“测绘学概论”课程,20152024113
大学化学实验,1.0,自然与工程类,20152012115
健康心理学,1.0,自然与工程类,20152038008
环境变迁与人类生育力改变,1.0,自然与工程类,20152038007
饮食情绪与胃肠功能,1.0,自然与工程类,20152038009
恋爱必修课,1.0,人文与社会类,20152038011
植物世界,1.0,自然与工程类,20152013084
急救常识,1.0,自然与工程类,20152039096
基础生物学实验,1.0,2月28日第一次上课，地点生科院21,20152013088
体育舞蹈(一),2.0,人文与社会类，文理学部风雨馆,20152040693
体育舞蹈(一),2.0,人文与社会类，文理学部风雨馆,20152040694
龙舟运动,2.0,人文与社会类，工学部体育场,20152040700
龙舟运动,2.0,人文与社会类，工学部体育馆,20152040699
龙舟运动,2.0,人文与社会类，工学部体育馆,20152040698
基础生物学实验,1.0,2月28日第一次上课，地点生科院21,20152013089
孙子兵法研究与应用,2.0,人文与社会类,20152041008
军事地形学与定向越野,2.0,人文与社会类,20152041009
军事地形学与定向越野,2.0,人文与社会类,20152041067
当代中国社会问题透视,2.0,人文与社会类,20152034080
婚姻家庭法基本制度与热点问题研究,1.0,人文与社会类,20152006066
商务沟通与谈判,1.0,交流与写作类,20152005446
当代欧美戏剧名作赏析,1.0,艺术与欣赏类，课程组授课,20152032071
处世文化,1.0,人文与社会类，暑期开课,20152004147
当代中国话题,2.0,无,20152054055
中国书法艺术,2.0,无,20152054056
中国传统武术欣赏,2.0,无,20152054060
汉语应用文写作,2.0,无,20152054058
汉语的词汇与文化,2.0,无,20152054057
中国人文地理,2.0,无,20152054061
汉语成语,2.0,无,20152054059
